Time,timeStamp,avgnoise,magRMS,maxnoise,temperature,totalAccel,xtRaccel,xtRv,ytRaccel,ytRv,ztRaccel,ztRv
2024-03-07 06:35:44,1.70979E+12,90.45953,"[{""N"":""556.6937""},{""N"":""658.719""},{""N"":""1576.491""}]",90.45953,37.3125,3.1,1.223508,5.108448,2.191091,12.01499,1.828322,11.24467
2024-03-07 06:34:43,1.70979E+12,88.78996,"[{""N"":""520.1116""},{""N"":""637.8134""},{""N"":""1594.06""}]",88.78996,37.3125,3.22,1.373849,6.507935,2.164703,12.29514,1.955908,12.22623
2024-03-07 06:33:43,1.70979E+12,89.08868,"[{""N"":""529.2771""},{""N"":""597.6449""},{""N"":""1556.847""}]",89.08868,37.25,3.39,1.365473,6.332769,2.329286,13.05586,2.052169,12.77812
2024-03-07 06:32:43,1.70979E+12,91.79646,"[{""N"":""592.3967""},{""N"":""602.7012""},{""N"":""1581.51""}]",91.79646,37.25,3.28,1.29247,6.002831,2.246697,12.64072,2.009407,12.3147
2024-03-07 06:31:43,1.70979E+12,89.49559,"[{""N"":""596.0112""},{""N"":""595.0475""},{""N"":""1581.031""}]",89.49559,37.25,3.32,1.364986,6.753004,2.25004,12.92486,2.020247,12.72962
2024-03-07 06:30:44,1.70979E+12,87.82003,"[{""N"":""590.3208""},{""N"":""565.823""},{""N"":""1569.027""}]",87.82003,37.25,3.45,1.398184,6.943209,2.338664,13.22474,2.109672,13.36559
2024-03-07 06:29:43,1.70979E+12,89.98676,"[{""N"":""530.1713""},{""N"":""695.7288""},{""N"":""1574.433""}]",89.98676,37.25,3.33,1.401428,6.576219,2.237649,12.38484,2.026957,12.59404
2024-03-07 06:28:44,1.70979E+12,89.81576,"[{""N"":""575.4327""},{""N"":""640.3854""},{""N"":""1587.508""}]",89.81576,37.25,3.23,1.245683,5.315618,2.265322,13.29558,1.941493,12.11321
2024-03-07 06:27:43,1.70979E+12,87.70136,"[{""N"":""515.1314""},{""N"":""693.5754""},{""N"":""1586.695""}]",87.70136,37.25,3.24,1.268812,5.18072,2.295146,12.3288,1.901535,11.56138
2024-03-07 06:26:44,1.70979E+12,89.28638,"[{""N"":""535.7352""},{""N"":""680.0707""},{""N"":""1570.654""}]",89.28638,37.25,3.2,1.229895,4.736908,2.28962,12.43365,1.868372,11.44064
